Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Castillo de San Marcos NM,"6,50,095","15,10,237","16,34,592","16,98,543","16,85,628","13,96,076","12,24,687","15,35,913","16,29,277","19,29,713","20,97,991","20,72,715","20,98,930","20,47,103","22,59,889","23,83,684","23,84,388","23,55,580","25,15,057","27,37,640","26,34,587",0,0,"7,449","8,380","12,933","28,937","34,453","30,584","24,587","27,411","25,115","26,996","28,310","25,556","28,981","30,882","26,863","30,117","26,879","29,922","4,09,36,680",998455.6098
Castle Clinton NM,"2,16,996",0,0,"10,205","10,375","9,825","10,435","9,375","6,110","5,140","2,880","2,939","2,942","3,389","3,368","3,401","3,401","3,401","3,401","2,960","3,947","8,48,348","8,33,202","7,72,620","8,66,498","9,36,007","8,30,253","8,26,635","8,25,320","8,35,860","8,26,425","8,27,247","8,28,145","8,28,523","8,28,478","8,27,761","8,13,686","8,21,406","8,25,660","4,39,306","4,60,757","1,62,16,627",395527.4878
Catoctin Mountain Park,"4,31,541","64,959","51,957","62,653","68,000","86,279","1,00,380","95,575","88,898","1,00,444","2,32,644","2,83,074","3,20,161","3,35,281","2,94,085","2,57,940","3,48,390","3,79,370","3,74,893","3,57,443","5,53,243","4,01,558","3,68,592","3,67,078","3,86,986","3,71,706","3,93,381","3,92,537","4,17,560","4,36,715","4,36,241","4,35,908","4,73,773","4,52,952","4,62,242","5,42,431","6,34,607","7,76,218","7,42,271","7,39,449","7,33,996","1,48,53,411",362278.3171
Cedar Breaks NM,"3,62,178","3,42,788","3,97,789","2,89,486","3,31,734","2,96,230","3,20,503","3,83,742","4,28,808","4,69,556","5,15,278","5,62,477","6,18,056","6,75,837","6,10,707","6,05,324","6,48,864","6,78,012","6,25,680","6,56,026","6,80,153","45,81,169","43,91,478","44,55,931","40,66,365","41,06,840","37,12,812","44,87,716","43,51,609","46,44,235","43,11,949","46,53,706","44,54,771","44,41,290","45,01,898","44,26,750","45,03,220","46,92,796","41,25,418","39,26,462","40,96,104","9,74,31,747",2376384.073
Chaco Culture NHP,"48,810","45,687","46,200","44,824","39,861","39,946","43,810","46,968","38,849","47,869","43,566","53,857","62,640","61,984","54,148","56,123","65,604","64,680","65,109","70,121","65,278","26,47,383","25,92,889","29,23,894","26,60,535","22,08,189","22,60,628","21,25,005","22,37,378","21,46,392","22,82,543","21,93,292","19,60,711","23,02,040","22,14,565","21,53,350","22,74,635","24,11,711","24,33,703","25,91,056","26,06,632","4,83,32,465",1178840.61
Chamizal NMEM,"1,11,129","37,160","44,059","50,216","46,673","48,756","53,689","61,346","55,196","57,863","55,435","54,568","65,157","54,941","56,992","54,478","48,634","42,879","41,402","37,911","36,442","2,026","4,060","3,266","3,587","4,330","4,664","2,598",745,"1,575","1,810","2,521","8,668","24,950","18,225",0,0,"15,000","15,000","15,087","16,226","12,59,264",30713.7561
Channel Islands National Park,"82,937","6,72,963","7,71,766","7,81,963","7,12,247","7,12,989","7,32,482","7,52,552","7,81,300","7,86,135","7,92,378","7,47,016","6,79,450","6,88,742","6,87,161","6,17,087","5,88,609","5,57,217","5,40,797","5,22,076","5,14,418","4,46,148","6,25,387","6,10,337","7,04,480","7,20,216","6,92,857","8,03,155","8,60,602","4,86,899","6,01,954","5,30,181","5,08,116","4,80,294","4,16,568","4,30,927","4,00,413","4,58,000","3,99,357","4,08,399","4,55,526","2,47,62,101",603953.6829
Chesapeake & Ohio Canal NHP,"28,32,646","1,09,202","1,02,768","1,05,190","1,19,229","1,33,680","1,42,252","1,60,936","1,79,915","1,66,782","1,64,011","1,75,025","1,76,910","1,72,345","1,61,886","1,70,572","1,64,753","1,55,941","1,57,447","1,50,715","1,51,185","6,12,656","5,27,760","5,25,646","5,35,441","5,49,708","5,50,255","5,11,511","5,54,907","6,04,811","6,17,208","6,62,661","6,68,834","6,73,345","6,63,670","7,86,514","9,41,029","10,64,904","11,50,165","12,27,627","12,26,519","2,05,08,561",500208.8049
Chickamauga & Chattanooga NMP,"8,66,933","6,09,510","6,54,012","6,59,688","6,72,624","6,92,486","6,99,248","7,32,882","7,55,056","7,57,131","7,66,621","7,89,033","7,94,382","8,08,780","7,15,811","6,75,030","6,43,252","6,68,200","5,82,732","5,62,731","6,92,670","62,265","60,542","58,675","61,373","57,692","53,521","49,823","49,182","45,178","50,935","48,580","46,358","48,710","48,466","50,892","55,506","60,132","59,615","67,411","81,617","1,59,15,285",388177.6829
Chickasaw NRA,"14,34,484","1,64,484","1,13,324","95,894","1,24,165","85,473","1,28,012","22,13,555","30,40,848","28,43,214","32,85,976","33,81,595","33,44,143","32,88,132","33,19,237","34,81,327","36,72,620","37,53,944","41,09,013","43,90,268","44,67,492","35,240","34,769","38,052","32,570","28,372","26,640","28,799","28,820","21,233","83,550","86,740","89,721","93,429","81,710","82,377","72,606","80,696","72,777","72,047","78,144","5,19,05,492",1265987.61
