Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Sitka NHP,"69,189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,02,145","12,64,132","14,32,569",0,0,0,0,0,0,0,0,0,0,0,"14,90,358","37,38,336","32,05,654","31,99,136","35,30,401","36,38,208","36,51,093","35,67,434","36,67,562","3,40,56,217",830639.439
Sleeping Bear Dunes NL,"7,33,463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,46,476","16,09,738","11,00,142","6,12,065","5,98,475","6,57,316","6,66,195","5,80,307","6,24,848","7,91,617","6,52,867","6,58,873","6,50,343","6,58,452","6,66,482","7,07,514","7,04,168","7,66,030","6,73,728","4,67,715","5,84,435","6,41,801","7,61,650","1,83,14,700",446700
Springfield Armory NHS,"15,607","63,594","60,131","55,209","56,368","59,123","61,179","73,069","88,243","98,559","1,03,822","1,01,958","1,24,596","1,39,160","1,51,504","1,37,214","1,46,636","1,36,368","1,41,573","1,26,360","1,29,173","14,066","15,950","16,036","14,594","13,686","10,445","24,735","19,678","21,216","23,216","21,055","19,287","22,062","16,229","19,187","18,547","22,100","22,023","18,642","20,623","24,42,823",59581.04878
Statue of Liberty NM,"16,61,432","39,886","39,574","38,927","46,792","38,916","46,702","46,554","62,441","78,861","83,615","76,808","81,488","1,06,195","97,594","1,05,234","1,08,474","1,00,323","1,00,466","90,666","78,603","5,696","5,769","2,554","2,467","6,329","8,570","16,858","17,324","17,635","21,811","19,520","18,142","6,646","5,686","9,295","8,249","7,149",277,109,"3,788","33,13,425",80815.2439
Stones River NB,"1,22,049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,710","2,46,920","4,52,287","5,13,409","4,06,385","4,38,590","4,46,811","4,98,333","5,57,248","5,41,102","5,51,446","5,50,377","5,59,712","5,72,329","4,88,860","4,60,237","5,01,563","5,47,325","5,83,527","6,13,788","5,63,420","5,56,203","1,07,95,631",263308.0732
Sunset Crater Volcano NM,"3,08,723",0,0,0,0,"2,31,295","2,63,021","3,94,079","4,36,791","3,99,722","4,11,195","3,78,035","7,72,172","9,40,310","10,05,598","10,79,994","11,77,238","12,37,637","12,28,242","11,97,649","11,86,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,622","11,567","13,647","1,26,85,038",309391.1707
Theodore Roosevelt Birthplace NHS,"13,237","1,69,727","1,74,997","1,87,747","2,07,746","2,22,236","2,28,300","2,00,881","2,38,305","2,08,329","2,41,625","1,99,534","2,42,112","2,64,643","2,49,418","2,62,355","2,50,276","2,63,241","2,55,539","2,36,020","1,87,252","10,04,195","10,72,979","11,79,317","11,76,283","10,72,149","10,27,033","10,84,041","11,07,254","10,67,578","10,96,024","10,73,748","10,02,833","10,01,207","9,47,894","10,56,549","9,64,330","10,49,414","10,23,921","10,14,803","10,17,326","2,55,42,398",622985.3171
Theodore Roosevelt Inaugural NHS,"15,888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,282","18,900",0,0,0,0,"4,924","7,800","16,754","24,566","30,615","36,777","42,348","59,389","75,654","76,261","62,058","1,00,488","1,33,895","1,43,715","1,39,273","1,25,776","11,16,363",27228.36585
Theodore Roosevelt Island,"72,458",0,0,0,0,0,"17,908","41,690","39,707","37,763","44,829","45,729","30,025","27,688","31,075","36,155","31,719","37,591","33,976","31,842","27,900",0,0,0,0,0,0,0,0,0,0,0,"99,398","1,06,733","1,00,111","85,637","1,27,635","2,56,944","4,36,734","4,17,022","3,74,682","25,92,951",63242.70732
Theodore Roosevelt National Park,"5,91,646",0,0,"4,170","4,605","7,835","7,005","5,570","4,475","5,350","5,280","5,126","5,569","5,466","7,053","7,103","7,103","7,103","7,103","2,100","3,927",0,0,0,0,"48,149","63,557","1,67,960","1,45,767","1,62,086","1,86,313","1,67,301","1,79,983","1,67,776","1,69,698","1,34,760","1,45,004","1,48,210","1,19,816","1,28,657","1,29,280","29,57,906",72144.04878
Thomas Edison NHP,"52,999","7,96,079","8,29,026","8,57,016","8,58,041","6,37,836","6,29,234","6,83,056","6,51,606","6,05,967","3,91,433","4,56,444","22,796","20,295","21,378","19,323","65,984","27,910","27,203","32,753","21,488","4,44,402","4,92,745","4,92,785","6,15,269","5,46,312","6,32,521","5,37,250","5,82,675","6,18,285","5,28,865","6,00,897","5,36,006","5,42,527","5,49,599","5,54,560","5,89,155","5,85,635","7,16,604","7,87,404","8,41,516","1,95,02,879",475679.9756
Thomas Jefferson MEM,"23,28,095",0,0,0,0,0,0,0,"6,722","16,346","21,305","1,04,902","86,414","1,86,272","2,26,077","2,41,947","2,32,228","2,16,699","2,98,642","2,49,518","2,45,899","18,198","18,095","15,592","14,566","18,145","17,985","18,579","22,125","31,276","34,553","33,313","36,674","47,249","37,647","56,187","64,596","87,547","1,13,820","84,901","1,44,969","53,77,083",131148.3659
Timpanogos Cave NM,"1,25,080","88,929","84,387","80,904","1,11,014","1,48,769","1,98,596","2,14,853","1,64,059","1,18,336","1,27,938","1,22,386","1,27,832","1,25,018","1,15,236","1,11,146","1,14,544","1,29,818","1,26,029","1,20,254","1,18,803","7,89,131","7,10,595","6,43,645","6,37,024","6,44,452","6,22,320","5,97,762","5,97,611","6,03,755","6,01,465","5,78,554","5,73,731","4,55,305","3,89,091","4,07,017","4,16,635","3,92,168","3,98,174","3,90,151","3,76,254","1,34,98,771",329238.3171
Tonto NM,"69,847","20,32,418","23,06,032","24,78,739","24,10,722","27,59,011","25,32,145","29,40,034","28,22,850","29,59,122","27,37,611","27,94,903","27,59,673","30,30,195","26,79,598","33,81,573","36,58,615","33,48,723","38,46,709","35,77,007","33,64,266","89,872","88,320","86,782","67,272","60,676","48,406","44,378","55,039","44,820","68,864","51,326","58,118","79,345","72,330","87,774","89,944","83,889","86,747","58,531","77,006","5,98,89,232",1460712.976
Tumacacori NHP,"59,013","1,29,090","1,35,495","1,15,045","1,14,160","1,18,583","93,993","1,01,833","1,02,944","1,17,068","1,03,325","99,158","99,061","86,097","97,223","97,286","1,03,056","98,383","84,500","86,476","91,129","4,63,624","4,64,758","3,36,509","3,28,057","3,10,041","2,41,897","2,77,748","2,96,651","2,77,203","2,98,060","2,78,392","2,22,395","2,94,606","3,04,941","2,64,363","2,18,959","2,52,514","2,68,295","2,79,393","2,71,330","80,82,654",197137.9024
Tuskegee Institute NHS,"18,913","1,48,311","1,77,750","1,51,934","2,05,090","1,82,011","1,75,581","2,19,912","2,47,089","2,40,253","2,16,814","2,18,421","2,28,842","2,60,677","2,51,776","2,74,757","4,12,453","3,99,721","1,68,169","1,82,126","1,56,107","13,44,833","13,01,103","13,10,390","12,62,351","12,17,750","11,73,897","11,13,601","10,47,685","11,63,227","11,51,654","11,91,754","10,38,229","10,49,178","11,48,552","12,64,259","12,37,231","13,56,913","14,15,867","15,18,491","15,01,621","2,93,45,293",715738.8537
Tuzigoot NM,"68,733","14,28,711","13,61,644","14,49,168","14,08,642","14,29,268","13,58,900","13,51,018","12,80,744","15,46,702","15,80,800","17,39,597","23,04,761","16,49,662","13,90,130","14,71,313","15,19,853","14,75,942","16,02,504","15,47,989","15,36,301","18,68,876","19,04,119","21,62,570","22,17,894","20,37,820","20,37,861","19,89,771","18,56,118","17,89,328","22,60,192","23,31,237","20,81,722","21,85,447","21,62,998","21,44,808","24,34,297","24,31,231","24,37,800","23,11,273","19,63,540","7,31,11,284",1783202.049
Valley Forge NHP,"31,07,420","7,65,423","6,20,782","7,31,218","6,30,165","6,13,386","6,69,078","7,08,932","6,05,977","5,87,283","5,86,235","5,93,255","9,72,122","8,48,073","7,66,391","9,15,596","7,55,817","8,40,236","6,77,492","7,07,999","6,30,562","8,84,229","7,73,624","7,08,091","7,19,350","7,78,368","7,75,941","7,41,768","8,11,033","8,38,292","7,79,880","8,34,356","8,97,131","9,72,331","9,54,125","10,49,400","10,99,923","11,23,121","10,62,099","9,57,932","8,12,073","3,49,06,509",851378.2683
Vanderbilt Mansion NHS,"3,35,275","94,687","1,05,117","1,05,296","1,13,930","1,24,282","1,18,613","1,31,161","98,688","1,08,075","1,04,612","1,09,972","1,03,034","1,13,762","89,688","90,407","1,06,513","90,839","72,016","80,000","95,410","3,34,745","2,87,499","2,72,465","2,85,615","2,39,903","2,32,023","2,72,091","2,07,441","2,32,470","2,18,126","2,06,870","2,06,624","1,84,551","1,91,095","2,15,257","2,04,332","2,04,120","2,33,339","2,34,786","1,82,123","70,36,852",171630.5366
Vicksburg NMP,"6,33,951",0,"8,55,847","10,39,050","10,44,752","11,93,987","11,74,573","12,81,356","13,87,343","13,22,849","13,70,153","13,89,810","14,88,960","15,35,881","14,49,997","14,53,948","13,73,331","14,15,855","14,04,684","13,58,699","14,02,418","57,37,183","55,52,351","56,43,170","55,55,984","53,89,227","54,82,282","57,13,583","57,77,666","57,47,235","59,34,363","59,10,950","57,65,343","55,60,668","60,12,740","58,46,474","57,85,812","58,91,315","63,26,062","63,62,439","62,96,041","14,18,68,332",3460203.22
Virgin Islands National Park,"5,49,732","36,677","44,539","38,926","39,371","37,514","44,616","44,808","45,320","48,595","44,632","45,316","47,111","47,809","43,410","39,517","41,090","40,400","33,862","30,172","37,886","28,16,985","18,60,851","17,24,138","14,01,221","13,78,172","16,60,876","38,03,244","25,13,639","25,59,653","36,78,876","13,63,389","12,40,717","8,58,700","17,12,858","19,99,232","18,33,085","18,13,222","19,32,762","18,00,329","17,70,794","4,11,04,046",1002537.707
Voyageurs National Park,"1,95,277",0,0,0,0,0,0,"3,10,693","46,096","2,47,231","2,41,631","2,14,309","2,30,629","2,24,063","2,26,479","2,45,821","2,12,277","2,12,260","2,24,689","2,65,575","2,70,211","12,63,838","13,43,067","12,23,863","13,72,109","19,98,903","13,90,443","13,10,321","13,11,087","12,96,990","12,72,212","11,81,960","11,67,393","9,23,054","10,91,661","13,11,995","12,20,403","12,24,671","13,66,142","14,47,273","12,10,641","2,92,95,267",714518.7073
Walnut Canyon NM,"69,729","1,45,289","94,885","1,38,841","1,56,293","1,38,615","1,54,983","1,55,127","1,43,164","1,40,645","1,64,390","1,76,909","1,95,001","1,67,609","1,83,789","1,86,172","1,87,700","1,97,506","1,74,445","1,85,679","1,79,542",0,0,"1,938",0,0,0,"1,239","6,774","3,683","3,242","3,006","8,716","10,440","17,919","13,953","13,892","28,892","69,468","28,626","60,006","36,08,107",88002.60976
Washington Monument,"13,04,790","5,45,765","5,36,003","5,50,783","5,53,208","5,32,643","5,26,073","5,24,827","4,60,280","4,42,326","3,70,735","2,50,289","2,93,874","2,99,146","2,54,617","2,18,561","2,00,992","1,71,312","1,77,325","1,55,993","1,48,676","1,12,573","97,171","98,281","98,874","96,106","1,21,247","91,288","88,316","91,838","92,023","95,676","91,184","89,011","82,330","87,119","94,797","1,01,843","1,07,443","1,03,118","88,090","1,04,46,546",254793.8049
Whiskeytown NRA,"11,62,390","6,83,121","7,47,832","7,10,619","7,08,512","7,14,761","7,36,659","7,61,257","7,58,082","8,57,031","8,24,141","8,44,592","8,74,521","9,30,031","9,36,429","9,22,927","9,35,065","8,29,495","8,23,266","8,16,506","6,66,978","66,133","57,904","60,282","76,620","65,246","54,688","71,595","69,445","74,143","77,901","90,696","87,388","58,219","54,168","65,778","71,370","65,705","68,785","61,195","49,983","1,85,91,459",453450.2195
White House,"13,13,017",0,0,0,0,0,0,0,0,0,0,0,0,"68,065","66,870","85,869","88,196","90,533","92,209","77,537","72,604","2,72,506","3,03,342","3,44,563","3,32,538","3,43,468","3,32,935","3,43,774","3,27,047","2,81,512","2,79,803","2,77,681","2,73,862","2,69,885","2,76,374","2,72,731","1,67,790","1,45,500","1,66,894","1,86,937","1,43,427","72,97,469",177987.0488
White Sands National Park,"5,80,814","3,11,000","3,29,775","3,56,415","4,41,271","4,07,697","3,97,884","4,06,619","4,74,934","5,53,774","5,65,242","5,61,973","7,04,894","5,83,110","6,10,811","5,81,281","4,62,687","4,03,684","4,13,963","4,55,120","4,42,916","16,711","45,766","50,019","43,926","44,226","40,242","34,375","49,053","66,726","80,828","80,195","1,30,393","1,77,909","1,98,363","36,017","58,188","35,514","40,814","54,483","41,049","1,13,70,661",277333.1951
Whitman Mission NHS,"1,18,136","1,63,626","1,55,205","1,71,026","1,70,631","1,66,258","1,91,578","1,98,236","2,04,705","2,12,094","2,18,601","2,14,268","1,92,610","1,91,683","1,94,757","1,72,642","1,77,527","1,64,465","1,71,971","94,639","1,64,854","11,32,531","12,31,529","12,15,875","11,11,164","11,51,782","10,45,814","11,24,688","11,78,012","12,12,854","11,44,318","11,51,213","10,71,088","11,28,195","10,71,823","11,24,799","11,78,753","11,97,931","11,68,658","12,32,627","11,95,721","2,67,78,887",653143.5854
William Howard Taft NHS,"4,410","25,670","30,008","30,155","28,237","28,635","30,083","33,578","35,648","40,447","42,287","46,442","55,271","56,199","52,436","47,837","46,423","44,817","66,624","62,986","64,735","1,45,970","1,59,417","2,05,891","1,99,282","1,87,210","1,52,396","1,55,802","2,25,568","2,07,250","1,76,238","1,93,000","2,86,259","2,33,093","2,97,973","2,21,439","2,24,967","2,39,908","2,38,424","3,07,645","2,16,068","51,46,728",125529.9512
Wilson's Creek NB,"80,559","1,36,358","1,49,172","1,34,782","1,33,831","1,29,064","1,31,204","1,38,993","1,17,053","1,05,190","1,09,198","1,06,623","1,20,419","1,24,075","1,07,292","1,16,374","1,04,007","96,157","87,907","91,785","92,605","21,691","34,251","31,664","51,310","56,803","28,065","21,441","2,507","2,434","2,978","3,448","2,681","3,505","3,241","3,374","3,306","3,552","2,916","2,738","3,540","26,98,093",65807.14634
Wind Cave National Park,"4,57,443","1,60,912","1,16,678","1,18,545","69,712","58,078","58,608","76,425","87,658","56,157","1,81,106","2,70,008","1,64,463","2,13,494","1,39,165","1,33,758","1,47,541","1,94,494","2,45,228","2,33,571","2,39,008","28,492","29,194","28,801","31,679","34,622","28,734","33,786","33,595","57,304","50,689","63,747","70,099","73,044","69,624","65,688","80,223","1,18,002","1,13,103","95,550","97,295","46,25,323",112812.7561
Wolf Trap National Park for the Performing Arts,"5,89,016","14,08,810","13,22,449","13,44,582","14,24,751","20,32,238","19,91,615","20,53,399","21,26,790","22,41,850","22,04,407","23,69,083","23,96,904","25,79,949","25,61,234","24,66,532","22,08,369","22,72,398","25,05,547","24,77,409","23,00,631",0,0,0,0,"54,385","58,750","60,397","79,942","70,270","68,058","69,705","65,785","65,999","71,876","53,443","68,110","73,813","80,806","61,639","60,812","4,39,41,753",1071750.073
Wright Brothers NMEM,"3,96,322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,46,879","13,33,875","13,63,332","2,257","3,912","3,586","3,674","8,393","7,010","3,272","1,384","2,147","2,474","3,257","11,722","31,000","16,907",0,0,"17,000","17,000","16,387","17,216","51,09,006",124609.9024
Wupatki NM,"1,86,875","4,04,358","4,67,161","4,39,724","4,19,793","4,06,832","4,31,922","4,49,660","4,18,145","3,58,823","3,05,127","2,90,457","2,90,726","3,03,909","2,56,612","2,32,766","2,39,320","2,39,369","2,23,655","1,62,176","1,45,993","25,704","27,739","20,691","20,724","16,912","18,686","19,167","19,534","18,725","26,972","24,659","19,208","26,935","21,623","23,865","20,677","28,646","30,326","30,085","38,208","71,52,489",174450.9512
Yellowstone National Park,"18,92,908","3,72,212","3,35,441","3,45,920","3,47,840","3,83,120","3,94,844","4,32,400","4,15,580","3,92,537","4,14,380","3,92,366","4,01,540","4,34,110","4,24,819","4,54,457","4,36,654","4,41,828","4,78,023","4,92,210","4,35,810","2,40,194","1,93,105","2,32,768","2,06,337","2,42,682","1,75,800","1,85,176","1,82,504","1,92,154","2,12,933","1,80,203","2,12,458","2,12,446","1,98,367","2,15,767","2,14,441","2,31,390","2,14,783","2,17,530","2,21,301","1,43,01,338",348813.122
Yosemite National Park,"23,50,782","21,606","24,888","33,706","40,719","44,953","48,014","56,424","54,945","53,248","59,754","63,398","70,514","48,792","42,945","44,295","45,649","46,593","46,584","57,364","58,317","1,27,705","1,18,565","1,09,482","1,74,340","1,38,526","1,30,281","1,40,239","1,14,379","1,02,631","1,10,819","1,09,413","1,22,722","1,20,025","1,15,801","1,22,799","1,55,388","1,62,260","1,56,907","1,33,008","1,46,925","59,25,705",144529.3902
Zion National Park,"10,40,528","1,13,816","1,14,555","1,72,126","1,61,551","1,77,971","1,77,038","2,83,597","2,10,708","2,38,307","2,38,307","2,55,420","2,58,346","2,56,158","2,11,254","2,98,651","3,46,151","3,25,562","1,79,791","1,95,916","2,34,550","33,27,722","34,16,069","36,91,310","32,25,327","30,73,722","31,42,774","27,49,197","29,88,686","30,81,451","32,76,459","28,44,563","29,66,502","28,24,908","30,85,340","32,43,872","32,63,761","33,90,221","34,01,996","31,04,455","32,45,806","6,88,34,444",1678888.878
,0,"4,71,710","5,49,461","4,67,126","4,73,711","4,67,155","5,05,791","5,67,849","6,10,897","6,77,135","6,54,115","3,48,458","3,66,280","3,87,781","4,21,027","4,75,033","5,52,464","4,26,938","3,82,488","3,83,188","3,69,726","89,230","87,175","84,520","94,745","83,701","83,811","78,900","76,966","73,774","88,496","86,335","76,194","78,164","72,717","69,405","72,709","80,613","72,212","67,417","65,006","1,11,40,423",271717.6341
,0,"2,55,736","2,84,577","3,00,170","3,12,786","3,04,487","3,05,667","3,02,470","3,28,854","3,41,942","3,66,848","4,28,667","4,75,786","4,73,096","92,839","82,827","85,371","77,807","77,707","82,187","87,957","2,58,306","3,29,028","2,94,434","2,77,566","2,29,584","2,80,068","3,13,103","3,41,594","3,40,290","3,30,064","2,09,602","2,11,405","1,61,743","2,06,860","2,24,548","2,22,723","2,34,186","2,60,534","2,60,375","2,63,186","1,03,16,980",251633.6585
,0,0,0,0,0,0,702,805,743,822,662,525,628,962,470,693,493,498,489,462,678,"15,68,758","14,88,355","16,07,279","13,01,415","13,17,746","15,54,729","14,91,380","17,89,783","12,43,507","13,08,718","14,16,529","13,65,960","14,06,781","12,53,703","12,96,437","12,77,941","12,41,480","11,65,296","12,64,657","12,21,489","2,75,91,575",672965.2439
,0,"10,59,794","9,17,310","17,64,535","23,60,791","14,92,638","18,91,539","21,88,249","17,24,665","15,64,453","20,49,651","22,04,125","21,55,770","19,71,419","21,46,546","23,32,045","20,49,141","18,73,822","20,01,085","20,15,825","19,98,719","7,59,596","6,56,873","5,32,843","5,68,737","6,43,792","6,66,580","7,30,994","6,58,317","6,35,925","6,42,163","6,12,716","5,42,873","5,73,855","5,15,830","5,78,815","5,82,839","6,34,012","6,50,197","6,16,033","5,76,299","5,01,41,411",1222961.244
,0,"26,41,937","29,11,242","25,64,116","25,99,006","22,31,448","22,48,854","24,08,234","25,31,864","25,44,211","25,02,915","26,47,323","27,51,781","27,88,868","27,80,342","29,68,450","28,78,169","29,23,755","29,65,354","30,35,422","31,86,323",0,0,0,59,"28,175","29,913","32,117","21,676","45,026","41,599","26,865","24,752","36,707","32,522","41,516","47,866","58,556","84,361","82,488","1,49,733","5,48,93,545",1338866.951
,0,"45,601","2,112","14,353","15,664","15,817","14,480","18,176","21,875","20,979","18,953","20,296","1,07,601","48,343","50,389","42,811","38,318","49,513","52,006","57,155","60,916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,77,498","3,08,199","1,43,604","2,76,985","16,21,644",39552.29268
,0,0,0,0,0,0,0,0,0,0,0,0,"2,98,948","3,30,015","3,11,716","3,48,257","3,44,902","3,13,565","3,32,164","4,25,209","3,33,944","76,495","77,583","81,815","70,678","61,449","65,557","66,177","68,840","68,464","68,746","1,15,128","1,14,234","1,31,907","95,251","1,04,686","1,14,578","1,19,490","1,21,163","1,01,969","1,02,753","48,65,683",118675.1951
,0,"22,928","21,290","21,780","22,136","22,675","21,561","23,388","24,959","25,161","23,693","23,553","20,783","27,309","30,020","32,923","35,739","26,881","27,380","26,353","27,289","14,44,904","14,36,006","14,99,760","14,76,396","15,66,633","15,56,808","15,42,757","15,57,336","14,07,879","12,76,868","13,72,724","16,94,896","17,51,224","17,86,024","16,20,814","15,74,156","18,19,020","19,47,495","17,79,143","17,16,535","3,23,35,179",788662.9024
,0,"1,81,231","1,79,676","1,44,023","1,23,487","1,20,835","1,21,598","1,19,458","1,04,801","1,35,331","1,59,839","1,68,975","1,15,176","80,621","58,762","62,887","71,261","71,195","96,590","90,919","67,193","37,127","32,718","36,934","38,326","33,829","35,782","34,106","34,307","32,701","34,522","33,864","43,873","45,568","32,386","38,256","30,229","39,715","40,650","39,129","43,834","30,11,714",73456.43902
,0,"6,11,317","4,70,598","5,66,807","6,34,688","6,99,292","6,36,711","6,13,651","6,89,933","6,75,397","7,06,191","7,02,328","6,79,034","8,10,059","8,28,267","7,68,685","7,32,813","6,71,643","7,39,410","7,16,160","7,49,014","2,78,472","2,25,962","1,72,574","1,64,340","2,09,005","2,12,141","1,91,677","2,26,908","2,39,785","2,56,874","2,62,030","2,36,136","2,83,232","2,57,831","54,035",0,0,"1,08,716","1,19,616","1,25,035","1,73,26,367",422594.3171
,0,"3,54,173","3,55,962","4,45,183","4,40,016","4,62,922","4,39,033","4,38,772","6,25,549","5,29,414","5,53,779","4,89,274","4,68,790","5,00,960","3,73,518","4,24,835","4,58,525","4,22,653","4,23,622","4,52,748","3,28,506","1,64,223","1,64,402","2,06,171","1,68,002","1,52,628","1,55,689","1,07,908","1,10,879","1,57,337","1,54,457","92,944","93,119","1,40,281","1,58,231","1,29,440","1,56,578","1,42,152","84,769","1,50,557","1,21,325","1,17,99,326",287788.439
,0,0,0,0,0,0,0,0,0,0,0,0,"5,987","4,712","3,341","3,869","4,495","4,346","6,032","8,069","7,442","1,71,099","1,61,999","1,67,563","1,62,547","1,58,167","1,43,455","1,52,889","1,54,619","1,54,003","1,62,722","1,75,553","2,13,261","1,88,426","1,90,086","2,05,572","1,92,655","1,91,898","2,08,473","2,04,322","2,35,691","36,43,293",88860.80488
,0,"39,064","39,675","38,002","38,682","27,080","31,880","35,446","36,227","32,974","44,881","35,955","39,790","35,773","33,482","34,560","34,773","37,498","35,369","36,303","29,031","6,05,192","5,83,904","5,71,586","5,86,245","5,80,000","5,98,378","5,81,681","5,63,590","5,43,714","6,31,613","6,64,725","6,14,054","6,64,857","6,44,648","8,36,799","7,93,225","6,43,274","6,27,757","6,44,922","6,43,588","1,33,40,197",325370.6585
,0,"3,54,337","4,18,262","4,01,480","5,65,898","7,88,510","6,69,983","6,73,861","8,74,589","7,42,673","6,93,272","6,17,428","7,86,942","10,79,290","5,42,495","6,23,383","6,93,218","6,00,778","6,88,584","8,02,214","7,62,869","61,170","60,608","59,222","58,101","97,498","1,02,623","1,21,825","1,12,868","1,16,620","1,18,688","1,05,643","1,14,428","1,19,444","1,15,075","1,15,859","1,17,825","1,24,177","1,41,803","2,68,613","2,93,957","1,58,06,113",385514.9512
,0,"21,748","20,359","32,491","35,968","28,395","29,643","30,619","35,093","34,114","38,723","36,313","41,171","46,707","50,283","51,391","53,950","44,913","41,710","39,464","39,962","4,22,683","4,21,312","4,29,229","3,82,456","3,81,854","4,76,888","4,19,298","4,41,521","3,98,774","4,48,215","4,99,281","5,61,104","5,93,587","5,75,450","5,27,897","7,23,178","7,77,428","7,81,190","8,15,308","8,58,715","1,16,88,385",285082.561
,0,0,0,0,"1,34,904","2,05,124","2,12,165","2,50,410","2,57,265","2,58,033","2,70,136","3,13,443","2,90,519","9,50,496","12,30,544","15,04,518","10,87,165","12,39,970","13,28,958","11,18,905","12,24,178","1,62,110","1,78,243","1,62,266","1,62,791","1,57,397","1,70,994","1,58,824","1,61,019","1,66,988","1,71,112","2,46,575","3,93,219","2,24,476","2,37,677","1,96,635","2,06,533","2,15,555","2,33,334","2,22,152","1,77,224","1,58,81,857",387362.3659
,0,0,0,0,0,0,0,0,0,0,"52,03,302","30,88,265","43,17,598","35,60,895","36,49,325","37,33,911","36,31,994","36,70,972","35,30,687","35,35,081","35,35,315","51,993","50,783","54,734","56,341","57,569","54,704","50,923","46,574","47,418","49,433","59,952","57,360","54,692","51,118","56,484","54,619","46,710","29,065","25,179","27,482","4,24,40,478",1035133.61
,0,"1,03,452","1,01,620","1,13,385","1,22,540","99,400","1,04,312","1,37,008","1,58,260","2,48,188","2,51,399","2,47,823","3,59,168","3,01,452","3,23,987","2,01,516","2,06,039","2,27,104","2,25,851","2,50,285","2,70,671","92,391","88,512","84,299","82,290","81,773","69,820","66,867","72,422","80,137","69,539","78,108","61,908","76,030","64,760","62,151","70,748","67,489","76,486","73,267","77,508","55,49,965",135365
,0,"16,01,984","15,22,942","15,08,333","13,06,178","20,05,185","22,21,661","22,30,500","18,08,232","25,55,674","24,25,305","24,04,184","23,45,348","20,70,744","12,43,057","13,06,921","13,50,829","10,51,187","9,82,740","8,92,854","9,50,141","2,01,177","2,51,261","2,29,607","1,84,823","1,90,745","1,76,174","1,99,443","1,84,636","3,24,394","2,34,186","2,48,314","2,79,060","1,24,107","1,61,999","1,09,473","1,48,729","1,23,381","1,54,011","1,46,364","3,29,729","3,77,85,612",921600.2927
,0,0,0,"4,68,144","3,94,100","4,58,423","5,13,073","5,16,064","5,17,811","5,01,450","2,09,908","3,05,972","3,34,272","3,65,215","4,01,739","3,84,324","3,88,047","4,28,524","5,30,198","5,16,249","5,55,529","23,25,336","22,22,762","23,95,693","22,24,882","19,60,055","19,88,585","20,65,083","22,06,294","22,48,203","21,70,646","20,67,271","21,29,116","24,12,663","26,41,808","24,33,944","25,01,106","24,38,442","24,56,669","23,97,722","22,65,301","5,33,40,623",1300990.805
,0,"97,910","1,09,018","1,21,867","1,23,519","1,19,870","1,16,922","1,89,774","1,28,776","1,29,361","1,49,280","1,63,910","1,69,919","1,54,661","1,74,913","2,00,210","1,77,278","1,37,366","1,38,405","1,70,227","1,58,602",0,0,0,0,0,0,0,0,0,0,984,545,533,596,786,963,"1,942","1,086",653,830,"29,40,706",71724.53659
,0,"35,692","38,139","37,581","38,549","43,498","40,320","49,500","69,640","70,857","75,536","45,652","47,605","50,138","34,748","22,095","20,738","21,451","19,146","22,917","22,064",0,0,0,0,0,0,0,0,0,0,0,"9,749","8,932","9,838","11,113","10,463","10,468","10,177","10,845","8,758","8,96,209",21858.7561
,0,"1,09,520","1,50,183","1,70,175","1,51,984","1,53,448","1,68,616","1,70,708","1,61,896","1,47,408","1,64,050","1,71,788","1,86,813","1,52,710","1,56,056","1,41,820","1,27,385","1,32,166","1,41,613","1,41,606","1,41,453","12,19,143","14,01,108","8,53,993","7,23,575","13,33,967","12,04,270","10,61,387","10,58,774","11,78,845","14,75,182","6,16,635","7,86,151","6,00,083","6,58,065","7,23,923","9,03,161","9,89,424","14,77,913","10,35,737","7,15,911","2,30,58,645",562405.9756
,0,"8,62,397","10,83,002","10,20,500","8,54,233","9,79,632","9,39,468","10,56,527","11,39,389","10,31,129","10,56,020","10,63,538","11,20,278","9,61,095","10,66,552","10,34,133","8,44,582","8,38,060","10,08,931","8,61,303","8,73,229","1,75,581","2,17,721","2,48,577","2,12,180","2,20,044","2,32,213","2,09,312","2,95,853","3,45,361","3,68,365","3,86,521","3,79,535","2,80,325","3,09,298","3,15,072","3,12,109","3,44,435","3,60,540","3,13,629","3,39,693","2,55,60,362",623423.4634
